Company,Location,Industry,Date,Total Employees,Laid Off,Percentage,Department,Funds Raised,Stage
Company35,Germany,Social Media,2024-07-13,4809,491.0,10.21,HR,2B,IPO
Company21,Canada,Entertainment,2020-09-07,22518,181.0,0.8,Sales,2B,Public
Netflix,Germany,Fintech,2022-12-19,22141,152.0,0.69,Engineering,500M,IPO
Company44,New York,Software,2022-06-20,40958,824.0,2.01,Product,2B,Public
Airbnb,United States,Social Media,2022-10-13,31353,2379.0,7.59,Marketing,Not specified,Series A
Microsoft,USA,Cloud,2025-05-31,26433,1526.0,5.77,Sales,1B,Series A
Amazon,Germany,Automotive,2022-09-16,3560,36.0,1.01,Marketing,500M,Series A
Company38,,Social Media,2025-10-23,4307,19.0,0.44,Operations,2B,IPO
Intel,UK,Fintech,2021-01-31,21191,1856.0,8.76,HR,2B,Series A
Google,,Entertainment,2022-01-05,44563,385.0,0.86,Operations,2B,Public
Company23,United States,Cloud,2025-05-10,25914,,,Product,5B+,Series A
Company33,USA,Automotive,2025-08-26,1777,43.0,2.42,Engineering,2B,Public
Intel,India,Cloud,2023-10-09,4811,54.0,1.12,Marketing,100M,Private
Company31,UK,Cloud,2024-07-29,48253,589.0,1.22,Marketing,500M,Public
Company27,,Hardware,2025-04-12,40477,2630.0,6.5,Marketing,2B,IPO
Company47,US,Hardware,2024-06-16,17484,811.0,4.64,Finance,,IPO
Company5,Germany,Software,2024-08-07,22143,1901.0,8.59,Design,5B+,Public
Company11,India,Hardware,2021-06-20,23161,281.0,1.21,HR,500M,Public
DoorDash,US,Fintech,12/06/2020,11528,507.0,4.4,HR,500M,Series A
Company49,France,Fintech,2023-06-25,17308,1376.0,7.95,Sales,1B,Private
Company33,United States,Entertainment,2025-04-14,45823,1395.0,3.04,Sales,100M,Public
Company47,,Hardware,2024-01-24,8972,178.0,1.98,Engineering,5B+,Private
Company8,San Francisco,Hardware,2021-06-30,28499,1726.0,6.06,Finance,,Public
Company20,Seattle,Cloud,2025-08-28,24946,151.0,0.61,HR,5B+,Public
Company45,UK,Entertainment,2023-08-05,29602,1022.0,3.45,Product,500M,Private
Intel,Germany,Fintech,2020-05-23,34339,614.0,1.79,Marketing,,Public
Company5,Seattle,Social Media,2023-02-26,34194,2261.0,6.61,Sales,1B,IPO
Company37,UK,Entertainment,2021-06-01,41262,,,Design,500M,IPO
Company28,Germany,Hardware,2021-08-03,27336,,,Product,5B+,IPO
Company37,UK,Fintech,2020-05-20,39995,3545.0,8.86,Operations,Not specified,Private
Company47,,Entertainment,2025-03-02,7680,260.0,3.39,Product,Not specified,IPO
Company30,Seattle,Entertainment,2022-05-26,32958,1705.0,5.17,Engineering,100M,Public
Zoom,Germany,Software,2023-12-14,48925,3942.0,8.06,Design,100M,Series A
Company45,San Francisco,Cloud,2025-10-06,3031,281.0,9.27,Product,Not specified,Series A
Company5,Germany,Cloud,2022-09-03,19782,474.0,2.4,Engineering,5B+,IPO
Company26,US,Fintech,06/08/2025,28044,1199.0,4.28,Product,1B,Series A
Company43,USA,E-commerce,2023-12-18,20636,158.0,0.77,HR,Not specified,Private
Company36,UK,Fintech,2022-12-27,27090,643.0,2.37,Product,1B,IPO
Meta,United States,Social Media,2025-10-30,44870,2406.0,5.36,Design,5B+,IPO
Tesla,US,Automotive,2022-11-11,18084,163.0,0.9,Operations,2B,IPO
Uber,San Francisco,Entertainment,2024-11-04,44908,401.0,0.89,Marketing,5B+,IPO
Palantir,,Software,2024-09-11,39756,1492.0,3.75,Product,5B+,Public
Palantir,San Francisco,Hardware,2021-12-15,5876,568.0,9.67,Marketing,,Series A
Company40,US,Automotive,2023-07-29,23620,333.0,1.41,Marketing,5B+,Private
Company26,Seattle,Automotive,2020-03-13,14156,141.0,1.0,Sales,5B+,Series A
Tesla,Germany,Automotive,2025-03-29,19570,1560.0,7.97,Product,1B,Public
Company6,,Fintech,2024-03-03,26842,1483.0,5.52,Finance,2B,Public
Zoom,,Entertainment,2022-09-12,40501,1391.0,3.43,Product,Not specified,Series A
Company9,San Francisco,Software,2023-01-16,47628,,,Design,,IPO
Company45,India,Social Media,2024-08-14,43933,1820.0,4.14,Marketing,Not specified,Series A
Company6,United States,Entertainment,2025-08-21,31480,2455.0,7.8,Sales,100M,Private
Company46,,Automotive,2024-03-22,27221,,,Engineering,1B,Private
Company31,United States,Software,2024-01-04,6767,453.0,6.69,Finance,Not specified,Private
Google,USA,Fintech,2020-11-05,32147,3189.0,9.92,HR,,Series A
Apple,Seattle,Cloud,2020-07-21,29264,,,Engineering,,IPO
Company13,USA,Fintech,2025-09-24,26028,2404.0,9.24,HR,2B,Series A
Company38,Canada,Fintech,2020-12-03,22975,743.0,3.23,Finance,2B,Public
Company42,UK,Software,2020-03-23,44667,,,Finance,100M,Public
Company28,India,Automotive,2020-02-04,39108,3833.0,9.8,Marketing,500M,Public
Apple,USA,Automotive,2024-08-14,12213,283.0,2.32,HR,100M,IPO
Company5,,Software,2024-01-04,17014,443.0,2.6,HR,5B+,IPO
Salesforce,Germany,Entertainment,2022-05-31,49526,1051.0,2.12,Sales,1B,Private
Company27,USA,Software,2023-08-20,22797,189.0,0.83,Operations,Not specified,Series A
Shopify,USA,Cloud,2022-01-27,6797,582.0,8.56,Design,2B,Public
Company50,US,Software,2022-02-23,36281,2337.0,6.44,Finance,2B,Private
Company43,US,Entertainment,2023-01-25,36024,531.0,1.47,HR,500M,Series A
Company2,Germany,Software,2022-06-22,26358,1189.0,4.51,Operations,500M,Series A
Google,,Fintech,2020-09-18,38651,873.0,2.26,Design,5B+,Private
Netflix,Canada,Cloud,2024-09-10,7360,681.0,9.25,Engineering,,IPO
Company33,,Fintech,2023-04-21,46499,2425.0,5.22,HR,1B,IPO
Company46,,Cloud,2021-07-11,42756,160.0,0.37,Finance,100M,Private
Stripe,US,E-commerce,11/11/2024,28475,2182.0,7.66,Design,500M,Series A
Oracle,India,Automotive,2025-01-11,9793,721.0,7.36,Marketing,,IPO
Company48,USA,Cloud,2020-02-29,8749,801.0,9.16,HR,Not specified,Series A
Company10,France,Social Media,2023-03-23,49408,3358.0,6.8,Finance,,Public
Company41,Germany,Hardware,2021-03-17,48361,3259.0,6.74,Marketing,1B,Series A
Nvidia,,E-commerce,2020-11-26,18597,,,Engineering,100M,Private
Company18,,Hardware,2020-07-12,27734,1265.0,4.56,HR,100M,Private
Company28,India,Social Media,2020-02-08,42355,2599.0,6.14,Marketing,Not specified,Private
Company11,London,Hardware,2025-03-14,18706,1516.0,8.1,HR,1B,Series A
Company8,India,Hardware,2024-12-19,3413,,,Operations,5B+,Public
Meta,,Hardware,2022-03-15,46802,1864.0,3.98,Operations,500M,Public
Company14,London,Entertainment,2021-01-03,49086,,,Product,1B,IPO
Nvidia,India,Cloud,2022-10-20,41078,263.0,0.64,HR,,Private
Palantir,San Francisco,Hardware,2024-04-19,42996,374.0,0.87,Sales,1B,Series A
Salesforce,United States,Hardware,26/11/2024,15385,1458.0,9.48,Design,5B+,Private
Stripe,,Cloud,2023-02-17,12103,540.0,4.46,Finance,2B,Series A
Shopify,US,E-commerce,2025-04-14,33047,1171.0,3.54,Sales,1B,IPO
Company25,US,Fintech,2023-05-16,23437,1227.0,5.24,Finance,,Private
Company40,France,E-commerce,2022-06-10,40433,2302.0,5.69,Finance,,Private
DoorDash,,Social Media,2022-08-12,27108,,,Operations,Not specified,Private
Apple,Germany,E-commerce,2020-03-09,10425,262.0,2.51,Finance,,Series A
Company14,New York,Automotive,2022-03-01,18803,129.0,0.69,Sales,500M,IPO
Company27,London,Hardware,2020-01-12,33305,1856.0,5.57,Product,,Public
Company40,Seattle,Fintech,2021-07-20,30654,2074.0,6.77,Product,500M,IPO
Google,,Cloud,2021-06-10,12659,498.0,3.93,HR,5B+,Series A
Company31,San Francisco,E-commerce,2021-04-15,47540,3798.0,7.99,Engineering,1B,Series A
Company13,New York,Software,2020-04-02,47275,617.0,1.31,Finance,500M,IPO
Company27,UK,Hardware,2025-08-08,26602,1030.0,3.87,Operations,100M,Private
Zoom,London,Entertainment,2022-11-05,5833,,,Finance,5B+,Series A
Snowflake,San Francisco,Cloud,2020-11-23,9219,500.0,5.42,Sales,Not specified,Private
Company18,Seattle,Software,2021-04-27,34637,1079.0,3.12,Design,500M,Private
Company14,France,Social Media,2024-12-03,25490,211.0,0.83,Design,,Public
Company7,US,Entertainment,2022-01-09,41129,3840.0,9.34,Marketing,500M,Public
Company27,France,Fintech,2025-08-30,47776,4667.0,9.77,Finance,2B,IPO
Company43,USA,Software,2020-10-28,27567,,,Operations,Not specified,Series A
Company24,UK,Cloud,2022-07-09,32933,1495.0,4.54,Finance,100M,Series A
Company43,United States,Automotive,2024-09-08,47122,2278.0,4.83,Marketing,Not specified,Series A
Airbnb,UK,Fintech,2023-10-04,16863,1588.0,9.42,Sales,100M,Series A
Company8,USA,E-commerce,2020-11-02,5849,564.0,9.64,Design,100M,IPO
Company24,USA,Entertainment,2024-05-20,15690,554.0,3.53,HR,,Series A
Company21,Canada,Hardware,2020-12-07,8159,528.0,6.47,Design,,Series A
Company2,New York,Software,08/05/2022,4535,405.0,8.93,Engineering,500M,Public
Google,Seattle,Cloud,2025-07-19,33375,2857.0,8.56,Sales,,Series A
Company4,Seattle,Automotive,2023-02-08,12914,241.0,1.87,Sales,Not specified,Public
Company12,India,Social Media,2020-05-03,39394,1155.0,2.93,Operations,5B+,IPO
Apple,Germany,E-commerce,2020-04-14,40386,121.0,0.3,HR,500M,IPO
Tesla,Canada,Software,2023-09-19,39057,654.0,1.67,HR,,Private
Microsoft,USA,Social Media,2022-04-29,28521,1175.0,4.12,Marketing,Not specified,IPO
Nvidia,France,Cloud,2023-11-11,6932,199.0,2.87,Product,,IPO
Company25,USA,Hardware,2020-02-04,25623,,,Operations,1B,Private
Tesla,San Francisco,Fintech,2023-01-11,29750,936.0,3.15,Engineering,5B+,IPO
Company39,London,E-commerce,2024-05-28,45350,2682.0,5.91,Marketing,500M,Public
Company46,USA,Entertainment,2024-11-09,10262,727.0,7.08,Design,2B,Public
Company20,United States,Fintech,2021-08-16,20798,1783.0,8.57,Product,500M,Public
Snowflake,USA,E-commerce,02/05/2022,14986,567.0,3.78,Sales,5B+,Series A
Company33,,Social Media,2023-09-25,41222,3399.0,8.25,Operations,2B,Public
Company6,USA,Entertainment,2021-01-15,35208,1098.0,3.12,HR,,IPO
Company5,United States,Hardware,2022-05-07,27415,2308.0,8.42,Engineering,1B,IPO
Snowflake,Canada,E-commerce,2020-09-19,15842,1019.0,6.43,Marketing,500M,Public
Company29,USA,Entertainment,2021-05-30,34481,2898.0,8.4,Operations,100M,Private
Company42,UK,E-commerce,2021-03-09,10879,830.0,7.63,Operations,100M,Private
Company41,France,Entertainment,2022-07-01,25020,1468.0,5.87,Marketing,5B+,IPO
Microsoft,India,Cloud,2024-05-28,46851,,,Product,5B+,Series A
Company19,US,Social Media,2021-05-29,26322,,,Product,,Series A
Company50,New York,Entertainment,2023-06-09,25507,,,Product,500M,IPO
Nvidia,Germany,Automotive,2025-03-11,44436,2962.0,6.67,Marketing,5B+,Private
Company35,Seattle,Entertainment,2024-06-21,43636,4007.0,9.18,Sales,100M,Private
Google,Seattle,Social Media,2021-06-13,34451,,,Operations,1B,Private
Company30,,E-commerce,2025-06-29,39043,2485.0,6.36,Sales,1B,Public
Company7,Seattle,Cloud,2025-11-12,29583,103.0,0.35,HR,100M,Private
Company36,United States,Fintech,2023-09-26,45494,785.0,1.73,Engineering,100M,IPO
Company28,Canada,Entertainment,2025-10-06,12586,840.0,6.67,Product,100M,Public
Zoom,UK,Software,2023-03-09,26254,2003.0,7.63,Product,5B+,Series A
Company7,USA,Software,2024-12-03,7764,177.0,2.28,Engineering,Not specified,IPO
Company30,USA,Fintech,2021-08-19,27352,924.0,3.38,Finance,Not specified,Public
Apple,Seattle,E-commerce,2022-01-08,49991,107.0,0.21,Marketing,Not specified,IPO
Company26,France,Entertainment,2020-08-26,20575,,,Marketing,,Private
Twitter,USA,Cloud,2021-12-27,14207,573.0,4.03,Sales,Not specified,Series A
Company11,United States,E-commerce,2023-08-26,37135,1055.0,2.84,Engineering,Not specified,Private
Nvidia,San Francisco,E-commerce,2023-12-04,35568,1872.0,5.26,HR,5B+,Private
Microsoft,US,Entertainment,2025-02-15,33726,286.0,0.85,Design,,Public
Apple,,Fintech,2024-03-10,47764,1186.0,2.48,HR,500M,Series A
Company42,San Francisco,Entertainment,2023-06-26,45389,223.0,0.49,Operations,2B,Series A
Microsoft,London,Software,2021-09-19,20280,1691.0,8.34,Design,5B+,Public
Company19,France,Social Media,2021-07-20,36732,551.0,1.5,Marketing,,Private
Company46,,E-commerce,2023-11-29,44728,52.0,0.12,Product,Not specified,Series A
Company19,US,E-commerce,2024-11-22,35318,2888.0,8.18,Design,2B,Series A
Company30,Seattle,Social Media,2025-11-26,45827,4033.0,8.8,Product,,Public
Uber,,Cloud,2025-01-03,46958,2776.0,5.91,Engineering,500M,Private
Company31,Germany,E-commerce,2024-04-22,39976,,,Design,5B+,Public
Oracle,,E-commerce,2020-05-08,42121,668.0,1.59,Engineering,Not specified,IPO
Company43,London,Entertainment,2020-04-13,25952,1277.0,4.92,Engineering,1B,Public
Uber,,Social Media,2025-04-08,27234,1012.0,3.72,Sales,1B,Public
Shopify,Germany,Cloud,2021-05-29,2848,271.0,9.52,Design,100M,Private
Company13,US,Fintech,2022-12-18,23829,1675.0,7.03,Engineering,500M,Public
Company24,United States,Hardware,2022-02-18,46957,3488.0,7.43,HR,5B+,IPO
Company17,,Automotive,2021-07-27,44722,1256.0,2.81,Finance,Not specified,Series A
Palantir,UK,Software,2020-06-25,33862,,,Marketing,,Private
Company1,France,Social Media,2021-02-22,12758,846.0,6.63,Engineering,Not specified,Series A
Company44,New York,Entertainment,2023-10-22,36336,170.0,0.47,Design,1B,Series A
Company5,Germany,Social Media,2024-11-05,4143,171.0,4.13,Finance,500M,Series A
Company45,,Automotive,2020-06-13,2600,220.0,8.46,Finance,500M,IPO
Company20,France,Software,2024-07-06,42954,605.0,1.41,Finance,100M,Public
Zoom,London,E-commerce,2024-01-24,11450,932.0,8.14,Sales,500M,IPO
Google,India,Automotive,2023-12-18,39087,2242.0,5.74,Design,500M,IPO
Company18,New York,Cloud,13/03/2025,49524,3291.0,6.65,HR,100M,IPO
Company43,Canada,Software,2024-09-13,38596,,,Operations,500M,Series A
Company17,,Software,2025-03-27,45514,3243.0,7.13,Product,5B+,IPO
Company28,Germany,Social Media,2023-01-14,45900,3738.0,8.14,Finance,5B+,Public
Company31,Seattle,Social Media,2025-05-13,43929,,,HR,Not specified,Private
Company10,USA,Fintech,2024-11-13,35157,646.0,1.84,Design,500M,Public
Nvidia,USA,Fintech,2021-09-08,28701,1067.0,3.72,Product,100M,Series A
Company25,France,Automotive,2024-06-13,7474,780.0,10.44,Sales,,Series A
Company24,United States,Automotive,2022-11-28,45645,3378.0,7.4,Engineering,2B,IPO
Company48,India,Automotive,2025-09-10,19015,318.0,1.67,Sales,Not specified,Public
Company19,New York,Entertainment,2025-02-03,39912,253.0,0.63,Operations,,Series A
Twitter,San Francisco,Fintech,2023-08-22,6301,482.0,7.65,Engineering,2B,IPO
Snowflake,UK,E-commerce,2022-06-01,32543,2666.0,8.19,Sales,Not specified,Series A
Apple,United States,Automotive,2022-02-14,21183,1389.0,6.56,Design,2B,Private
Company25,UK,Cloud,2021-07-10,15102,576.0,3.81,HR,5B+,Public
Palantir,UK,E-commerce,2022-05-28,14100,938.0,6.65,Engineering,100M,IPO
Company5,USA,Hardware,2022-02-01,4051,143.0,3.53,Design,1B,Series A
Company23,Canada,Entertainment,2025-02-26,24482,2023.0,8.26,Product,2B,Series A
Company2,London,Entertainment,2023-11-12,9009,399.0,4.43,Engineering,Not specified,Private
Zoom,US,Social Media,2021-11-11,30442,2565.0,8.43,HR,100M,IPO
Meta,US,Software,2020-05-25,17375,652.0,3.75,Sales,100M,Private
Company9,Canada,Automotive,2024-04-22,39524,1106.0,2.8,Product,5B+,IPO
Company23,,Automotive,2022-02-04,25232,2558.0,10.14,Product,2B,Public
Company30,USA,E-commerce,2022-06-09,22053,1020.0,4.63,Design,,IPO
Company20,,Software,2024-09-06,48310,588.0,1.22,Operations,,IPO
Company26,Canada,Hardware,2021-07-23,10166,767.0,7.54,Design,5B+,Private
Company35,US,Social Media,2022-04-04,42535,461.0,1.08,Operations,1B,IPO
Company30,,Automotive,2024-04-02,11040,884.0,8.01,Engineering,500M,Public
Company50,Germany,E-commerce,2022-12-16,12464,161.0,1.29,Product,Not specified,IPO
Company9,San Francisco,Automotive,2020-12-03,28219,2727.0,9.66,Marketing,1B,IPO
Tesla,,Fintech,2021-01-25,24123,909.0,3.77,Design,5B+,IPO
Amazon,San Francisco,Cloud,2024-03-28,7642,92.0,1.2,Marketing,,Series A
Company20,London,Entertainment,2022-06-14,16890,175.0,1.04,Finance,2B,Series A
Company2,US,Software,2020-08-29,6480,,,Product,500M,IPO
Company49,London,Fintech,2021-03-04,18158,974.0,5.36,Design,1B,Public
Company19,Canada,Entertainment,2021-11-02,34012,1415.0,4.16,Operations,1B,IPO
Company18,India,Entertainment,2024-01-26,4146,,,Design,5B+,Private
Company16,,Hardware,2024-11-19,49531,2022.0,4.08,Operations,100M,Public
Company41,New York,Fintech,2021-03-16,14142,379.0,2.68,Design,1B,Series A
Amazon,,Software,2023-03-25,14036,58.0,0.41,Design,500M,IPO
Company24,,Software,26/01/2025,30299,1171.0,3.86,Marketing,500M,Public
Tesla,India,E-commerce,2025-12-03,24636,2292.0,9.3,HR,500M,IPO
Company29,France,Social Media,2024-07-15,43757,574.0,1.31,Finance,100M,IPO
Company34,France,Fintech,2022-06-15,1102,,,Sales,,IPO
Company13,USA,Entertainment,2021-02-14,18528,1679.0,9.06,Finance,Not specified,Private
Company17,UK,Entertainment,2024-05-22,7085,576.0,8.13,Marketing,5B+,Series A
Apple,India,E-commerce,2021-05-03,45135,2273.0,5.04,Finance,100M,Series A
Twitter,US,Hardware,2021-07-14,34706,215.0,0.62,Design,100M,Public
Company35,United States,E-commerce,02/04/2020,46564,1336.0,2.87,Marketing,Not specified,IPO
Company3,UK,Fintech,2023-04-19,23854,1158.0,4.85,Operations,Not specified,Series A
Palantir,Seattle,Social Media,2023-07-14,36851,3685.0,10.0,Marketing,Not specified,IPO
Company37,San Francisco,E-commerce,2022-09-15,15633,579.0,3.7,Product,100M,Series A
Company46,New York,Cloud,2025-10-26,37531,1110.0,2.96,Engineering,,IPO
Company19,New York,Entertainment,2020-11-05,1765,14.0,0.79,Operations,Not specified,Series A
Company2,,Automotive,2025-11-07,29085,94.0,0.32,Product,,Public
Company15,USA,Automotive,2023-09-15,37023,3022.0,8.16,Marketing,2B,Private
Company29,US,Software,2020-07-31,3234,222.0,6.86,HR,2B,Private
Company2,,Fintech,2021-07-28,3580,30.0,0.84,Marketing,Not specified,Public
Salesforce,UK,Entertainment,2024-02-15,18131,1774.0,9.78,Operations,5B+,Public
Company32,France,Entertainment,2025-12-09,15683,243.0,1.55,Operations,5B+,Private
Nvidia,US,Cloud,2022-03-08,30023,935.0,3.11,HR,,IPO
Company6,,Software,2021-08-18,20405,1702.0,8.34,Engineering,100M,Private
Shopify,London,Social Media,2023-09-19,29914,2805.0,9.38,Finance,2B,Series A
Company38,USA,Cloud,2023-08-20,25085,2455.0,9.79,Finance,1B,IPO
Company10,,Software,2022-05-16,35645,1919.0,5.38,Design,5B+,Private
Company21,,Entertainment,2023-04-27,23555,,,Engineering,2B,Private
Google,United States,Hardware,2024-05-09,26476,,,Engineering,1B,Private
Company26,,Entertainment,2023-05-14,46312,1939.0,4.19,Design,Not specified,Public
Company12,San Francisco,E-commerce,2025-01-24,31482,3182.0,10.11,Design,500M,Series A
Company5,India,Entertainment,2024-01-05,26772,1670.0,6.24,Sales,2B,IPO
Company42,,Entertainment,2022-08-01,9366,75.0,0.8,Engineering,100M,Private
Company25,New York,Hardware,2021-08-19,24430,1389.0,5.69,Product,5B+,IPO
Company35,UK,Entertainment,2022-09-14,23727,537.0,2.26,Operations,500M,Private
Company4,San Francisco,Cloud,2021-01-23,5008,506.0,10.1,Product,,IPO
Company45,New York,Cloud,2024-02-09,40218,3225.0,8.02,Operations,,Public
Company34,India,Software,2022-07-12,28601,1650.0,5.77,Operations,,Series A
Company29,India,Entertainment,2023-05-28,42069,659.0,1.57,Engineering,2B,IPO
Company19,UK,Automotive,2021-07-22,46438,94.0,0.2,Sales,Not specified,IPO
Company47,UK,Fintech,2021-06-21,37343,1880.0,5.03,Design,500M,Public
Company2,,Automotive,2020-03-09,43381,3061.0,7.06,Marketing,2B,Public
Company27,Germany,Hardware,2022-07-24,47733,644.0,1.35,Design,1B,IPO
Company49,San Francisco,E-commerce,2023-08-13,32335,121.0,0.37,Sales,5B+,Public
Company23,San Francisco,Hardware,2025-02-19,17167,1712.0,9.97,Marketing,1B,Public
Company21,Canada,Social Media,2020-03-27,10982,313.0,2.85,Product,500M,IPO
Airbnb,Germany,Cloud,2024-06-07,26287,2596.0,9.88,HR,,Private
Google,New York,Cloud,2023-07-30,13416,394.0,2.94,Finance,1B,Series A
Company27,San Francisco,Fintech,2021-08-03,8626,787.0,9.12,Marketing,,Private
Company12,New York,Hardware,2022-11-06,6283,426.0,6.78,Product,2B,Private
Company30,Seattle,Hardware,29/10/2021,48951,3133.0,6.4,HR,2B,IPO
Company21,France,Social Media,2021-01-27,15901,1242.0,7.81,Marketing,1B,Private
Amazon,USA,Software,2023-07-09,40397,455.0,1.13,HR,1B,Private
Company3,,Hardware,2020-07-05,21812,1376.0,6.31,Sales,Not specified,Series A
Company21,USA,Entertainment,2020-07-21,17119,1064.0,6.22,Sales,1B,Public
Company13,Canada,Hardware,2023-09-27,35131,1765.0,5.02,HR,100M,Series A
Company3,,Automotive,2023-07-24,28566,246.0,0.86,Operations,1B,Public
Company46,USA,Entertainment,2021-01-04,4449,,,Sales,1B,Series A
Company39,USA,Fintech,2025-09-13,48752,3780.0,7.75,HR,100M,Private
Company21,India,Fintech,2025-12-01,8035,822.0,10.23,Sales,1B,IPO
Company10,UK,Automotive,2024-06-13,25949,,,Design,2B,IPO
Stripe,Seattle,Fintech,2021-11-25,47104,3002.0,6.37,HR,2B,Series A
Company12,San Francisco,E-commerce,2024-12-05,10669,1010.0,9.47,Engineering,,Series A
DoorDash,Canada,Software,2021-12-18,41288,1488.0,3.6,Engineering,2B,IPO
Company46,New York,Cloud,2024-12-13,4841,282.0,5.83,Finance,2B,IPO
Company41,,Hardware,2020-01-02,46667,1110.0,2.38,Finance,100M,Series A
Company50,Seattle,Cloud,13/03/2025,33019,302.0,0.91,Operations,,Series A
Company28,United States,Entertainment,2023-02-18,23030,1288.0,5.59,Sales,,Series A
Company37,New York,Cloud,2022-07-06,15248,,,Product,100M,Public
Palantir,United States,Entertainment,2025-02-24,49776,,,Operations,1B,IPO
Company30,New York,Social Media,2023-12-16,33694,2525.0,7.49,Engineering,1B,IPO
Zoom,,Automotive,2020-11-30,18573,1208.0,6.5,HR,,Public
Company32,San Francisco,Hardware,2023-10-22,23401,2132.0,9.11,Finance,500M,IPO
Company35,London,Cloud,2020-04-18,42908,2089.0,4.87,Marketing,5B+,Series A
Company44,New York,Fintech,2024-05-21,13396,1239.0,9.25,Sales,2B,Public
Company8,Canada,Hardware,2025-12-22,3003,,,Sales,,IPO
Company14,New York,Social Media,2020-08-01,36902,2195.0,5.95,Engineering,100M,IPO
Company2,,E-commerce,2023-12-18,33191,1364.0,4.11,Product,5B+,Public
Google,UK,Cloud,29/03/2025,7026,,,Finance,Not specified,Series A
Company7,San Francisco,Software,2020-07-10,34746,907.0,2.61,Product,2B,IPO
Company18,Seattle,Entertainment,2023-06-03,5694,62.0,1.09,Engineering,5B+,Series A
Company6,India,Hardware,2021-12-20,34525,1810.0,5.24,Sales,5B+,Private
Company22,UK,Hardware,2021-05-05,1425,169.0,11.86,Product,100M,IPO
Company34,India,E-commerce,2022-10-11,23650,774.0,3.27,Engineering,Not specified,IPO
Company42,San Francisco,Cloud,2024-02-05,45912,1040.0,2.27,Product,1B,Series A
Airbnb,,Automotive,2025-06-16,35728,1067.0,2.99,Sales,2B,Private
Company42,India,E-commerce,2024-04-26,48342,855.0,1.77,Sales,1B,Private
Company27,Seattle,Entertainment,2020-05-19,38632,,,Product,,Public
Nvidia,London,Automotive,2024-01-18,13822,1074.0,7.77,Product,1B,Private
Company41,New York,Automotive,2022-02-07,8973,643.0,7.17,Engineering,,IPO
