Company,Location,Industry,Date,Year,Total_Employees,Laid_Off,Layoff_Percentage,Department,Funds_Raised,Stage,Layoff_Intensity_Category,"Company_Size_Category
","Funding_Category
"
Company6,France,Automotive,2024-05-24,2024,"36,115",384,1.06%,Design,500M,IPO,Low,Large,Growth Stage
Oracle,United States,Automotive,2023-09-24,2023,"41,843",509,1.22%,Sales,5B+,Private,Low,Large,Mature
DoorDash,United States,Fintech,2023-12-06,2023,"8,991",686,7.63%,Finance,500M,Series A,High,Medium,Growth Stage
Company30,United States,Entertainment,2023-09-12,2023,"9,547",1026,10.75%,Design,5B+,IPO,Severe,Medium,Mature
Company1,United Kingdom,Entertainment,2021-03-01,2021,"28,742",1626,5.66%,HR,Not Specified,Series A,Moderate,Large,Unknown
Company3,Canada,Hardware,2022-04-20,2022,"30,482",2305,7.56%,HR,Not Specified,Series A,High,Large,Unknown
Company39,India,Fintech,2024-05-17,2024,"36,680",NA,0.00%,HR,500M,Private,Low,Large,Growth Stage
Snowflake,United States,Social Media,2023-05-18,2023,"15,557",71,0.46%,Marketing,Not specified,Public,Low,Medium,Unknown
Company49,United Kingdom,Cloud,2021-11-15,2021,"26,544",1549,5.84%,Design,2B,Public,Moderate,Large,Late Stage
Company13,United States,Entertainment,2024-03-22,2024,"33,450",2775,8.30%,HR,2B,Public,Severe,Large,Late Stage
Company13,United States,Social Media,2024-08-28,2024,"20,517",1533,7.47%,HR,2B,Series A,High,Large,Late Stage
Company20,United States,E-commerce,2023-01-10,2023,"47,172",943,2.00%,Marketing,2B,Public,Low,Large,Late Stage
Company23,United Kingdom,Fintech,2024-08-13,2024,"11,619",755,6.50%,Operations,5B+,Series A,Moderate,Medium,Mature
Palantir,United States,Fintech,2024-06-29,2024,"25,054",1902,7.59%,Finance,Not specified,Series A,High,Large,Unknown
Apple,United States,Fintech,2020-01-19,2020,"26,701",929,3.48%,Finance,5B+,Private,Low,Large,Mature
Oracle,United States,Entertainment,2023-09-29,2023,"15,033",264,1.76%,HR,5B+,Private,Low,Medium,Mature
Google,United States,Cloud,2021-05-22,2021,"41,422",2930,7.07%,Finance,Not specified,Private,High,Large,Unknown
Zoom,United States,Software,2025-06-30,2025,"2,150",18,0.84%,Engineering,100M,Series A,Low,Small,Early Stage
Company14,United States,Software,2023-08-30,2023,"43,269",NA,0.00%,Engineering,2B,Series A,Low,Large,Late Stage
Company16,France,Entertainment,2022-08-16,2022,"12,640",163,1.29%,Marketing,Not Specified,Private,Low,Medium,Unknown
Company28,United States,Social Media,2024-07-03,2024,"26,039",1882,7.23%,Finance,Not specified,Private,High,Large,Unknown
Company35,Germany,Social Media,2024-07-13,2024,"4,809",491,10.21%,HR,2B,IPO,Severe,Small,Late Stage
Company21,Canada,Entertainment,2020-09-07,2020,"22,518",181,0.80%,Sales,2B,Public,Low,Large,Late Stage
Netflix,Germany,Fintech,2022-12-19,2022,"22,141",152,0.69%,Engineering,500M,IPO,Low,Large,Growth Stage
Company44,United States,Software,2022-06-20,2022,"40,958",824,2.01%,Product,2B,Public,Low,Large,Late Stage
Airbnb,United States,Social Media,2022-10-13,2022,"31,353",2379,7.59%,Marketing,Not specified,Series A,High,Large,Unknown
Microsoft,United States,Cloud,2025-05-31,2025,"26,433",1526,5.77%,Sales,1B,Series A,Moderate,Large,Late Stage
Amazon,Germany,Automotive,2022-09-16,2022,"3,560",36,1.01%,Marketing,500M,Series A,Low,Small,Growth Stage
Company38,Unknown,Social Media,2025-10-23,2025,"4,307",19,0.44%,Operations,2B,IPO,Low,Small,Late Stage
Intel,United Kingdom,Fintech,2021-01-31,2021,"21,191",1856,8.76%,HR,2B,Series A,Severe,Large,Late Stage
Google,Unknown,Entertainment,2022-01-05,2022,"44,563",385,0.86%,Operations,2B,Public,Low,Large,Late Stage
Company23,United States,Cloud,2025-05-10,2025,"25,914",NA,0.00%,Product,5B+,Series A,Low,Large,Mature
Company33,United States,Automotive,2025-08-26,2025,"1,777",43,2.42%,Engineering,2B,Public,Low,Small,Late Stage
Intel,India,Cloud,2023-10-09,2023,"4,811",54,1.12%,Marketing,100M,Private,Low,Small,Early Stage
Company31,United Kingdom,Cloud,2024-07-29,2024,"48,253",589,1.22%,Marketing,500M,Public,Low,Large,Growth Stage
Company27,Unknown,Hardware,2025-04-12,2025,"40,477",2630,6.50%,Marketing,2B,IPO,Moderate,Large,Late Stage
Company47,United States,Hardware,2024-06-16,2024,"17,484",811,4.64%,Finance,Not Specified,IPO,Low,Medium,Unknown
Company5,Germany,Software,2024-08-07,2024,"22,143",1901,8.59%,Design,5B+,Public,Severe,Large,Mature
Company11,India,Hardware,2021-06-20,2021,"23,161",281,1.21%,HR,500M,Public,Low,Large,Growth Stage
DoorDash,United States,Fintech,2020-12-06,2020,"11,528",507,4.40%,HR,500M,Series A,Low,Medium,Growth Stage
Company49,France,Fintech,2023-06-25,2023,"17,308",1376,7.95%,Sales,1B,Private,High,Medium,Late Stage
Company33,United States,Entertainment,2025-04-14,2025,"45,823",1395,3.04%,Sales,100M,Public,Low,Large,Early Stage
Company47,Unknown,Hardware,2024-01-24,2024,"8,972",178,1.98%,Engineering,5B+,Private,Low,Medium,Mature
Company8,United States,Hardware,2021-06-30,2021,"28,499",1726,6.06%,Finance,Not Specified,Public,Moderate,Large,Unknown
Company20,United States,Cloud,2025-08-28,2025,"24,946",151,0.61%,HR,5B+,Public,Low,Large,Mature
Company45,United Kingdom,Entertainment,2023-08-05,2023,"29,602",1022,3.45%,Product,500M,Private,Low,Large,Growth Stage
Intel,Germany,Fintech,2020-05-23,2020,"34,339",614,1.79%,Marketing,Not Specified,Public,Low,Large,Unknown
Company5,United States,Social Media,2023-02-26,2023,"34,194",2261,6.61%,Sales,1B,IPO,Moderate,Large,Late Stage
Company37,United Kingdom,Entertainment,2021-06-01,2021,"41,262",NA,0.00%,Design,500M,IPO,Low,Large,Growth Stage
Company28,Germany,Hardware,2021-08-03,2021,"27,336",NA,0.00%,Product,5B+,IPO,Low,Large,Mature
Company37,United Kingdom,Fintech,2020-05-20,2020,"39,995",3545,8.86%,Operations,Not specified,Private,Severe,Large,Unknown
Company47,Unknown,Entertainment,2025-03-02,2025,"7,680",260,3.39%,Product,Not specified,IPO,Low,Medium,Unknown
Company30,United States,Entertainment,2022-05-26,2022,"32,958",1705,5.17%,Engineering,100M,Public,Moderate,Large,Early Stage
Zoom,Germany,Software,2023-12-14,2023,"48,925",3942,8.06%,Design,100M,Series A,Severe,Large,Early Stage
Company45,United States,Cloud,2025-10-06,2025,"3,031",281,9.27%,Product,Not specified,Series A,Severe,Small,Unknown
Company5,Germany,Cloud,2022-09-03,2022,"19,782",474,2.40%,Engineering,5B+,IPO,Low,Medium,Mature
Company26,United States,Fintech,2025-06-08,2025,"28,044",1199,4.28%,Product,1B,Series A,Low,Large,Late Stage
Company43,United States,E-commerce,2023-12-18,2023,"20,636",158,0.77%,HR,Not specified,Private,Low,Large,Unknown
Company36,United Kingdom,Fintech,2022-12-27,2022,"27,090",643,2.37%,Product,1B,IPO,Low,Large,Late Stage
Meta,United States,Social Media,2025-10-30,2025,"44,870",2406,5.36%,Design,5B+,IPO,Moderate,Large,Mature
Tesla,United States,Automotive,2022-11-11,2022,"18,084",163,0.90%,Operations,2B,IPO,Low,Medium,Late Stage
Uber,United States,Entertainment,2024-11-04,2024,"44,908",401,0.89%,Marketing,5B+,IPO,Low,Large,Mature
Palantir,Unknown,Software,2024-09-11,2024,"39,756",1492,3.75%,Product,5B+,Public,Low,Large,Mature
Palantir,United States,Hardware,2021-12-15,2021,"5,876",568,9.67%,Marketing,Not Specified,Series A,Severe,Medium,Unknown
Company40,United States,Automotive,2023-07-29,2023,"23,620",333,1.41%,Marketing,5B+,Private,Low,Large,Mature
Company26,United States,Automotive,2020-03-13,2020,"14,156",141,1.00%,Sales,5B+,Series A,Low,Medium,Mature
Tesla,Germany,Automotive,2025-03-29,2025,"19,570",1560,7.97%,Product,1B,Public,High,Medium,Late Stage
Company6,Unknown,Fintech,2024-03-03,2024,"26,842",1483,5.52%,Finance,2B,Public,Moderate,Large,Late Stage
Zoom,Unknown,Entertainment,2022-09-12,2022,"40,501",1391,3.43%,Product,Not specified,Series A,Low,Large,Unknown
Company9,United States,Software,2023-01-16,2023,"47,628",NA,0.00%,Design,Not Specified,IPO,Low,Large,Unknown
Company45,India,Social Media,2024-08-14,2024,"43,933",1820,4.14%,Marketing,Not specified,Series A,Low,Large,Unknown
Company6,United States,Entertainment,2025-08-21,2025,"31,480",2455,7.80%,Sales,100M,Private,High,Large,Early Stage
Company46,Unknown,Automotive,2024-03-22,2024,"27,221",NA,0.00%,Engineering,1B,Private,Low,Large,Late Stage
Company31,United States,Software,2024-01-04,2024,"6,767",453,6.69%,Finance,Not specified,Private,Moderate,Medium,Unknown
Google,United States,Fintech,2020-11-05,2020,"32,147",3189,9.92%,HR,Not Specified,Series A,Severe,Large,Unknown
Apple,United States,Cloud,2020-07-21,2020,"29,264",NA,0.00%,Engineering,Not Specified,IPO,Low,Large,Unknown
Company13,United States,Fintech,2025-09-24,2025,"26,028",2404,9.24%,HR,2B,Series A,Severe,Large,Late Stage
Company38,Canada,Fintech,2020-12-03,2020,"22,975",743,3.23%,Finance,2B,Public,Low,Large,Late Stage
Company42,United Kingdom,Software,2020-03-23,2020,"44,667",NA,0.00%,Finance,100M,Public,Low,Large,Early Stage
Company28,India,Automotive,2020-02-04,2020,"39,108",3833,9.80%,Marketing,500M,Public,Severe,Large,Growth Stage
Apple,United States,Automotive,2024-08-14,2024,"12,213",283,2.32%,HR,100M,IPO,Low,Medium,Early Stage
Company5,Unknown,Software,2024-01-04,2024,"17,014",443,2.60%,HR,5B+,IPO,Low,Medium,Mature
Salesforce,Germany,Entertainment,2022-05-31,2022,"49,526",1051,2.12%,Sales,1B,Private,Low,Large,Late Stage
Company27,United States,Software,2023-08-20,2023,"22,797",189,0.83%,Operations,Not specified,Series A,Low,Large,Unknown
Shopify,United States,Cloud,2022-01-27,2022,"6,797",582,8.56%,Design,2B,Public,Severe,Medium,Late Stage
Company50,United States,Software,2022-02-23,2022,"36,281",2337,6.44%,Finance,2B,Private,Moderate,Large,Late Stage
Company43,United States,Entertainment,2023-01-25,2023,"36,024",531,1.47%,HR,500M,Series A,Low,Large,Growth Stage
Company2,Germany,Software,2022-06-22,2022,"26,358",1189,4.51%,Operations,500M,Series A,Low,Large,Growth Stage
Google,Unknown,Fintech,2020-09-18,2020,"38,651",873,2.26%,Design,5B+,Private,Low,Large,Mature
Netflix,Canada,Cloud,2024-09-10,2024,"7,360",681,9.25%,Engineering,Not Specified,IPO,Severe,Medium,Unknown
Company33,Unknown,Fintech,2023-04-21,2023,"46,499",2425,5.22%,HR,1B,IPO,Moderate,Large,Late Stage
Company46,Unknown,Cloud,2021-07-11,2021,"42,756",160,0.37%,Finance,100M,Private,Low,Large,Early Stage
Stripe,United States,E-commerce,2024-11-11,2024,"28,475",2182,7.66%,Design,500M,Series A,High,Large,Growth Stage
Oracle,India,Automotive,2025-01-11,2025,"9,793",721,7.36%,Marketing,Not Specified,IPO,High,Medium,Unknown
Company48,United States,Cloud,2020-02-29,2020,"8,749",801,9.16%,HR,Not specified,Series A,Severe,Medium,Unknown
Company10,France,Social Media,2023-03-23,2023,"49,408",3358,6.80%,Finance,Not Specified,Public,Moderate,Large,Unknown
Company41,Germany,Hardware,2021-03-17,2021,"48,361",3259,6.74%,Marketing,1B,Series A,Moderate,Large,Late Stage
Nvidia,Unknown,E-commerce,2020-11-26,2020,"18,597",NA,0.00%,Engineering,100M,Private,Low,Medium,Early Stage
Company18,Unknown,Hardware,2020-07-12,2020,"27,734",1265,4.56%,HR,100M,Private,Low,Large,Early Stage
Company28,India,Social Media,2020-02-08,2020,"42,355",2599,6.14%,Marketing,Not specified,Private,Moderate,Large,Unknown
Company11,United Kingdom,Hardware,2025-03-14,2025,"18,706",1516,8.10%,HR,1B,Series A,Severe,Medium,Late Stage
Company8,India,Hardware,2024-12-19,2024,"3,413",NA,0.00%,Operations,5B+,Public,Low,Small,Mature
Meta,Unknown,Hardware,2022-03-15,2022,"46,802",1864,3.98%,Operations,500M,Public,Low,Large,Growth Stage
Company14,United Kingdom,Entertainment,2021-01-03,2021,"49,086",NA,0.00%,Product,1B,IPO,Low,Large,Late Stage
Nvidia,India,Cloud,2022-10-20,2022,"41,078",263,0.64%,HR,Not Specified,Private,Low,Large,Unknown
Palantir,United States,Hardware,2024-04-19,2024,"42,996",374,0.87%,Sales,1B,Series A,Low,Large,Late Stage
Salesforce,United States,Hardware,2024-11-24,2024,"15,385",1458,9.48%,Design,5B+,Private,Severe,Medium,Mature
Stripe,Unknown,Cloud,2023-02-17,2023,"12,103",540,4.46%,Finance,2B,Series A,Low,Medium,Late Stage
Shopify,United States,E-commerce,2025-04-14,2025,"33,047",1171,3.54%,Sales,1B,IPO,Low,Large,Late Stage
Company25,United States,Fintech,2023-05-16,2023,"23,437",1227,5.24%,Finance,Not Specified,Private,Moderate,Large,Unknown
Company40,France,E-commerce,2022-06-10,2022,"40,433",2302,5.69%,Finance,Not Specified,Private,Moderate,Large,Unknown
DoorDash,Unknown,Social Media,2022-08-12,2022,"27,108",NA,0.00%,Operations,Not specified,Private,Low,Large,Unknown
Apple,Germany,E-commerce,2020-03-09,2020,"10,425",262,2.51%,Finance,Not Specified,Series A,Low,Medium,Unknown
Company14,United States,Automotive,2022-03-01,2022,"18,803",129,0.69%,Sales,500M,IPO,Low,Medium,Growth Stage
Company27,United Kingdom,Hardware,2020-01-12,2020,"33,305",1856,5.57%,Product,Not Specified,Public,Moderate,Large,Unknown
Company40,United States,Fintech,2021-07-20,2021,"30,654",2074,6.77%,Product,500M,IPO,Moderate,Large,Growth Stage
Google,Unknown,Cloud,2021-06-10,2021,"12,659",498,3.93%,HR,5B+,Series A,Low,Medium,Mature
Company31,United States,E-commerce,2021-04-15,2021,"47,540",3798,7.99%,Engineering,1B,Series A,High,Large,Late Stage
Company13,United States,Software,2020-04-02,2020,"47,275",617,1.31%,Finance,500M,IPO,Low,Large,Growth Stage
Company27,United Kingdom,Hardware,2025-08-08,2025,"26,602",1030,3.87%,Operations,100M,Private,Low,Large,Early Stage
Zoom,United Kingdom,Entertainment,2022-11-05,2022,"5,833",NA,0.00%,Finance,5B+,Series A,Low,Medium,Mature
Snowflake,United States,Cloud,2020-11-23,2020,"9,219",500,5.42%,Sales,Not specified,Private,Moderate,Medium,Unknown
Company18,United States,Software,2021-04-27,2021,"34,637",1079,3.12%,Design,500M,Private,Low,Large,Growth Stage
Company14,France,Social Media,2024-12-03,2024,"25,490",211,0.83%,Design,Not Specified,Public,Low,Large,Unknown
Company7,United States,Entertainment,2022-01-09,2022,"41,129",3840,9.34%,Marketing,500M,Public,Severe,Large,Growth Stage
Company27,France,Fintech,2025-08-30,2025,"47,776",4667,9.77%,Finance,2B,IPO,Severe,Large,Late Stage
Company43,United States,Software,2020-10-28,2020,"27,567",NA,0.00%,Operations,Not specified,Series A,Low,Large,Unknown
Company24,United Kingdom,Cloud,2022-07-09,2022,"32,933",1495,4.54%,Finance,100M,Series A,Low,Large,Early Stage
Company43,United States,Automotive,2024-09-08,2024,"47,122",2278,4.83%,Marketing,Not specified,Series A,Low,Large,Unknown
Airbnb,United Kingdom,Fintech,2023-10-04,2023,"16,863",1588,9.42%,Sales,100M,Series A,Severe,Medium,Early Stage
Company8,United States,E-commerce,2020-11-02,2020,"5,849",564,9.64%,Design,100M,IPO,Severe,Medium,Early Stage
Company24,United States,Entertainment,2024-05-20,2024,"15,690",554,3.53%,HR,Not Specified,Series A,Low,Medium,Unknown
Company21,Canada,Hardware,2020-12-07,2020,"8,159",528,6.47%,Design,Not Specified,Series A,Moderate,Medium,Unknown
Company2,United States,Software,2022-08-05,2022,"4,535",405,8.93%,Engineering,500M,Public,Severe,Small,Growth Stage
Google,United States,Cloud,2025-07-19,2025,"33,375",2857,8.56%,Sales,Not Specified,Series A,Severe,Large,Unknown
Company4,United States,Automotive,2023-02-08,2023,"12,914",241,1.87%,Sales,Not specified,Public,Low,Medium,Unknown
Company12,India,Social Media,2020-05-03,2020,"39,394",1155,2.93%,Operations,5B+,IPO,Low,Large,Mature
Apple,Germany,E-commerce,2020-04-14,2020,"40,386",121,0.30%,HR,500M,IPO,Low,Large,Growth Stage
Tesla,Canada,Software,2023-09-19,2023,"39,057",654,1.67%,HR,Not Specified,Private,Low,Large,Unknown
Microsoft,United States,Social Media,2022-04-29,2022,"28,521",1175,4.12%,Marketing,Not specified,IPO,Low,Large,Unknown
Nvidia,France,Cloud,2023-11-11,2023,"6,932",199,2.87%,Product,Not Specified,IPO,Low,Medium,Unknown
Company25,United States,Hardware,2020-02-04,2020,"25,623",NA,0.00%,Operations,1B,Private,Low,Large,Late Stage
Tesla,United States,Fintech,2023-01-11,2023,"29,750",936,3.15%,Engineering,5B+,IPO,Low,Large,Mature
Company39,United Kingdom,E-commerce,2024-05-28,2024,"45,350",2682,5.91%,Marketing,500M,Public,Moderate,Large,Growth Stage
Company46,United States,Entertainment,2024-11-09,2024,"10,262",727,7.08%,Design,2B,Public,High,Medium,Late Stage
Company20,United States,Fintech,2021-08-16,2021,"20,798",1783,8.57%,Product,500M,Public,Severe,Large,Growth Stage
Snowflake,United States,E-commerce,2022-02-05,2022,"14,986",567,3.78%,Sales,5B+,Series A,Low,Medium,Mature
Company33,Unknown,Social Media,2023-09-25,2023,"41,222",3399,8.25%,Operations,2B,Public,Severe,Large,Late Stage
Company6,United States,Entertainment,2021-01-15,2021,"35,208",1098,3.12%,HR,Not Specified,IPO,Low,Large,Unknown
Company5,United States,Hardware,2022-05-07,2022,"27,415",2308,8.42%,Engineering,1B,IPO,Severe,Large,Late Stage
Snowflake,Canada,E-commerce,2020-09-19,2020,"15,842",1019,6.43%,Marketing,500M,Public,Moderate,Medium,Growth Stage
Company29,United States,Entertainment,2021-05-30,2021,"34,481",2898,8.40%,Operations,100M,Private,Severe,Large,Early Stage
Company42,United Kingdom,E-commerce,2021-03-09,2021,"10,879",830,7.63%,Operations,100M,Private,High,Medium,Early Stage
Company41,France,Entertainment,2022-07-01,2022,"25,020",1468,5.87%,Marketing,5B+,IPO,Moderate,Large,Mature
Microsoft,India,Cloud,2024-05-28,2024,"46,851",NA,0.00%,Product,5B+,Series A,Low,Large,Mature
Company19,United States,Social Media,2021-05-29,2021,"26,322",NA,0.00%,Product,Not Specified,Series A,Low,Large,Unknown
Company50,United States,Entertainment,2023-06-09,2023,"25,507",NA,0.00%,Product,500M,IPO,Low,Large,Growth Stage
Nvidia,Germany,Automotive,2025-03-11,2025,"44,436",2962,6.67%,Marketing,5B+,Private,Moderate,Large,Mature
Company35,United States,Entertainment,2024-06-21,2024,"43,636",4007,9.18%,Sales,100M,Private,Severe,Large,Early Stage
Google,United States,Social Media,2021-06-13,2021,"34,451",NA,0.00%,Operations,1B,Private,Low,Large,Late Stage
Company30,Unknown,E-commerce,2025-06-29,2025,"39,043",2485,6.36%,Sales,1B,Public,Moderate,Large,Late Stage
Company7,United States,Cloud,2025-11-12,2025,"29,583",103,0.35%,HR,100M,Private,Low,Large,Early Stage
Company36,United States,Fintech,2023-09-26,2023,"45,494",785,1.73%,Engineering,100M,IPO,Low,Large,Early Stage
Company28,Canada,Entertainment,2025-10-06,2025,"12,586",840,6.67%,Product,100M,Public,Moderate,Medium,Early Stage
Zoom,United Kingdom,Software,2023-03-09,2023,"26,254",2003,7.63%,Product,5B+,Series A,High,Large,Mature
Company7,United States,Software,2024-12-03,2024,"7,764",177,2.28%,Engineering,Not specified,IPO,Low,Medium,Unknown
Company30,United States,Fintech,2021-08-19,2021,"27,352",924,3.38%,Finance,Not specified,Public,Low,Large,Unknown
Apple,United States,E-commerce,2022-01-08,2022,"49,991",107,0.21%,Marketing,Not specified,IPO,Low,Large,Unknown
Company26,France,Entertainment,2020-08-26,2020,"20,575",NA,0.00%,Marketing,Not Specified,Private,Low,Large,Unknown
Twitter,United States,Cloud,2021-12-27,2021,"14,207",573,4.03%,Sales,Not specified,Series A,Low,Medium,Unknown
Company11,United States,E-commerce,2023-08-26,2023,"37,135",1055,2.84%,Engineering,Not specified,Private,Low,Large,Unknown
Nvidia,United States,E-commerce,2023-12-04,2023,"35,568",1872,5.26%,HR,5B+,Private,Moderate,Large,Mature
Microsoft,United States,Entertainment,2025-02-15,2025,"33,726",286,0.85%,Design,Not Specified,Public,Low,Large,Unknown
Apple,Unknown,Fintech,2024-03-10,2024,"47,764",1186,2.48%,HR,500M,Series A,Low,Large,Growth Stage
Company42,United States,Entertainment,2023-06-26,2023,"45,389",223,0.49%,Operations,2B,Series A,Low,Large,Late Stage
Microsoft,United Kingdom,Software,2021-09-19,2021,"20,280",1691,8.34%,Design,5B+,Public,Severe,Large,Mature
Company19,France,Social Media,2021-07-20,2021,"36,732",551,1.50%,Marketing,Not Specified,Private,Low,Large,Unknown
Company46,Unknown,E-commerce,2023-11-29,2023,"44,728",52,0.12%,Product,Not specified,Series A,Low,Large,Unknown
Company19,United States,E-commerce,2024-11-22,2024,"35,318",2888,8.18%,Design,2B,Series A,Severe,Large,Late Stage
Company30,United States,Social Media,2025-11-26,2025,"45,827",4033,8.80%,Product,Not Specified,Public,Severe,Large,Unknown
Uber,Unknown,Cloud,2025-01-03,2025,"46,958",2776,5.91%,Engineering,500M,Private,Moderate,Large,Growth Stage
Company31,Germany,E-commerce,2024-04-22,2024,"39,976",NA,0.00%,Design,5B+,Public,Low,Large,Mature
Oracle,Unknown,E-commerce,2020-05-08,2020,"42,121",668,1.59%,Engineering,Not specified,IPO,Low,Large,Unknown
Company43,United Kingdom,Entertainment,2020-04-13,2020,"25,952",1277,4.92%,Engineering,1B,Public,Low,Large,Late Stage
Uber,Unknown,Social Media,2025-04-08,2025,"27,234",1012,3.72%,Sales,1B,Public,Low,Large,Late Stage
Shopify,Germany,Cloud,2021-05-29,2021,"2,848",271,9.52%,Design,100M,Private,Severe,Small,Early Stage
Company13,United States,Fintech,2022-12-18,2022,"23,829",1675,7.03%,Engineering,500M,Public,High,Large,Growth Stage
Company24,United States,Hardware,2022-02-18,2022,"46,957",3488,7.43%,HR,5B+,IPO,High,Large,Mature
Company17,Unknown,Automotive,2021-07-27,2021,"44,722",1256,2.81%,Finance,Not specified,Series A,Low,Large,Unknown
Palantir,United Kingdom,Software,2020-06-25,2020,"33,862",NA,0.00%,Marketing,Not Specified,Private,Low,Large,Unknown
Company1,France,Social Media,2021-02-22,2021,"12,758",846,6.63%,Engineering,Not specified,Series A,Moderate,Medium,Unknown
Company44,United States,Entertainment,2023-10-22,2023,"36,336",170,0.47%,Design,1B,Series A,Low,Large,Late Stage
Company5,Germany,Social Media,2024-11-05,2024,"4,143",171,4.13%,Finance,500M,Series A,Low,Small,Growth Stage
Company45,Unknown,Automotive,2020-06-13,2020,"2,600",220,8.46%,Finance,500M,IPO,Severe,Small,Growth Stage
Company20,France,Software,2024-07-06,2024,"42,954",605,1.41%,Finance,100M,Public,Low,Large,Early Stage
Zoom,United Kingdom,E-commerce,2024-01-24,2024,"11,450",932,8.14%,Sales,500M,IPO,Severe,Medium,Growth Stage
Google,India,Automotive,2023-12-18,2023,"39,087",2242,5.74%,Design,500M,IPO,Moderate,Large,Growth Stage
Company18,United States,Cloud,2025-03-13,2025,"49,524",3291,6.65%,HR,100M,IPO,Moderate,Large,Early Stage
Company43,Canada,Software,2024-09-13,2024,"38,596",NA,0.00%,Operations,500M,Series A,Low,Large,Growth Stage
Company17,Unknown,Software,2025-03-27,2025,"45,514",3243,7.13%,Product,5B+,IPO,High,Large,Mature
Company28,Germany,Social Media,2023-01-14,2023,"45,900",3738,8.14%,Finance,5B+,Public,Severe,Large,Mature
Company31,United States,Social Media,2025-05-13,2025,"43,929",NA,0.00%,HR,Not specified,Private,Low,Large,Unknown
Company10,United States,Fintech,2024-11-13,2024,"35,157",646,1.84%,Design,500M,Public,Low,Large,Growth Stage
Nvidia,United States,Fintech,2021-09-08,2021,"28,701",1067,3.72%,Product,100M,Series A,Low,Large,Early Stage
Company25,France,Automotive,2024-06-13,2024,"7,474",780,10.44%,Sales,Not Specified,Series A,Severe,Medium,Unknown
Company24,United States,Automotive,2022-11-28,2022,"45,645",3378,7.40%,Engineering,2B,IPO,High,Large,Late Stage
Company48,India,Automotive,2025-09-10,2025,"19,015",318,1.67%,Sales,Not specified,Public,Low,Medium,Unknown
Company19,United States,Entertainment,2025-02-03,2025,"39,912",253,0.63%,Operations,Not Specified,Series A,Low,Large,Unknown
Twitter,United States,Fintech,2023-08-22,2023,"6,301",482,7.65%,Engineering,2B,IPO,High,Medium,Late Stage
Snowflake,United Kingdom,E-commerce,2022-06-01,2022,"32,543",2666,8.19%,Sales,Not specified,Series A,Severe,Large,Unknown
Apple,United States,Automotive,2022-02-14,2022,"21,183",1389,6.56%,Design,2B,Private,Moderate,Large,Late Stage
Company25,United Kingdom,Cloud,2021-07-10,2021,"15,102",576,3.81%,HR,5B+,Public,Low,Medium,Mature
Palantir,United Kingdom,E-commerce,2022-05-28,2022,"14,100",938,6.65%,Engineering,100M,IPO,Moderate,Medium,Early Stage
Company5,United States,Hardware,2022-02-01,2022,"4,051",143,3.53%,Design,1B,Series A,Low,Small,Late Stage
Company23,Canada,Entertainment,2025-02-26,2025,"24,482",2023,8.26%,Product,2B,Series A,Severe,Large,Late Stage
Company2,United Kingdom,Entertainment,2023-11-12,2023,"9,009",399,4.43%,Engineering,Not specified,Private,Low,Medium,Unknown
